Date,HomeTeam,AwayTeam
02/12/2023,Arsenal,Wolverhampton Wanderers
02/12/2023,Brentford,Luton
02/12/2023,Burnley,Sheffield United
02/12/2023,Nottingham Forest,Everton
02/12/2023,Newcastle United,Manchester United
03/12/2023,Bournemouth,Aston Villa
03/12/2023,Chelsea,Brighton
03/12/2023,Liverpool,Fulham
03/12/2023,West Ham,Crystal Palace
03/12/2023,Manchester City,Tottenham
05/12/2023,Wolverhampton Wanderers,Burnley
05/12/2023,Luton,Arsenal
06/12/2023,Brighton,Brentford
06/12/2023,Fulham,Nottingham Forest
06/12/2023,Sheffield United,Liverpool
06/12/2023,Crystal Palace,Bournemouth
06/12/2023,Aston Villa,Manchester City
06/12/2023,Manchester United,Chelsea
07/12/2023,Everton,Newcastle United
07/12/2023,Tottenham,West Ham
09/12/2023,Crystal Palace,Liverpool
09/12/2023,Brighton,Burnley
09/12/2023,Manchester United,Bournemouth
09/12/2023,Sheffield United,Brentford
09/12/2023,Wolverhampton Wanderers,Nottingham Forest
09/12/2023,Aston Villa,Arsenal
10/12/2023,Everton,Chelsea
10/12/2023,Fulham,West Ham
10/12/2023,Luton,Manchester City
10/12/2023,Tottenham,Newcastle United
