Date,HomeTeam,AwayTeam,HomeWinOdds,DrawOdds,AwayWinOdds,Line,OverLineOdds,UnderLineOdds,Yes,No,HTeam,HM,HW,HD,HL,HG,HGA,HPTS,HxG,HNPxG,HxGA,HNPxGA,HNPxGD,HPPDA,HOPPDA,HDC,HODC,HxPTS,ATeam,AM,AW,AD,AL,AG,AGA,APTS,AxG,ANPxG,AxGA,ANPxGA,ANPxGD,APPDA,AOPPDA,ADC,AODC,AxPTS
24/11/2023,Paris Saint Germain,Monaco,1.5,4.8,5.7,3.5,1.93,1.88,1.47,2.55,Paris Saint Germain,11,8,2,1,29,9,26,26.62,23.45,13.15,11.63,11.82,6.49,17.03,129,55,24.01,Monaco,11,6,3,2,21,12,21,19.08,17.56,9.99,7.71,9.85,7.45,12.77,112,52,20.77
25/11/2023,Clermont Foot,Lens,3.55,3.4,2.1,2.5,2.02,1.8,1.8,1.93,Clermont Foot,10,2,3,5,6,10,9,9.53,7.25,14.76,14.0,-6.75,9.44,12.62,50,60,10.63,Lens,11,4,4,3,11,10,16,19.47,17.95,11.98,11.22,6.73,9.88,11.22,103,58,19.31
25/11/2023,Strasbourg,Marseille,3.9,3.65,1.93,2.5,1.93,1.88,1.78,1.95,Strasbourg,10,2,3,5,7,14,9,10.34,10.34,14.43,13.66,-3.32,15.32,8.16,34,64,10.71,Marseille,10,2,4,4,10,12,10,15.91,15.91,9.62,9.62,6.29,13.23,11.06,78,57,17.22
26/11/2023,Lorient,Metz,1.98,3.45,3.95,2.5,2.07,1.75,1.87,1.87,Lorient,11,2,4,5,15,21,10,9.42,9.42,17.83,14.79,-5.37,17.42,9.27,56,102,8.8,Metz,11,3,4,4,11,13,13,7.63,7.63,15.28,15.28,-7.65,17.6,6.74,30,95,9.3
26/11/2023,Montpellier,Brest,2.3,3.4,3.1,2.5,1.95,1.87,1.72,2.05,Montpellier,10,3,3,4,13,12,12,14.34,13.58,12.32,11.56,2.02,15.14,8.93,45,84,14.5,Brest,10,3,3,4,8,11,12,13.83,13.83,14.53,13.64,0.2,8.46,8.62,58,63,13.28
26/11/2023,Nantes,Le Havre,2.07,3.35,3.7,2.5,2.18,1.7,1.93,1.82,Nantes,11,4,2,5,16,21,14,15.61,14.09,24.61,20.81,-6.72,13.78,14.9,69,98,11.8,Le Havre,11,3,5,3,10,11,14,11.51,10.75,18.44,17.68,-6.93,14.18,10.4,49,97,11.71
26/11/2023,Rennes,Reims,1.88,3.75,4.0,2.5,1.8,2.02,1.7,2.07,Rennes,11,1,6,4,11,15,9,13.61,11.33,16.35,16.35,-5.02,11.63,12.52,82,68,12.74,Reims,11,6,2,3,16,13,20,17.54,16.02,13.58,13.58,2.44,9.31,11.54,67,70,18.25
01/12/2023,Reims,Strasbourg,1.88,3.6,4.15,2.5,2.05,1.78,1.9,1.83,Reims,11,6,2,3,16,13,20,17.54,16.02,13.58,13.58,2.44,9.31,11.54,67,70,18.25,Strasbourg,10,2,3,5,7,14,9,10.34,10.34,14.43,13.66,-3.32,15.32,8.16,34,64,10.71
02/12/2023,Lens,Lyon,1.88,3.6,4.2,2.5,2.12,1.72,1.95,1.8,Lens,11,4,4,3,11,10,16,19.47,17.95,11.98,11.22,6.73,9.88,11.22,103,58,19.31,Lyon,10,1,4,5,8,17,7,12.86,11.34,18.17,17.41,-6.07,8.72,11.93,83,54,11.25
03/12/2023,Le Havre,Paris Saint Germain,9.0,5.2,1.34,2.5,1.57,2.4,1.88,1.85,Le Havre,11,3,5,3,10,11,14,11.51,10.75,18.44,17.68,-6.93,14.18,10.4,49,97,11.71,Paris Saint Germain,11,8,2,1,29,9,26,26.62,23.45,13.15,11.63,11.82,6.49,17.03,129,55,24.01
03/12/2023,Brest,Clermont Foot,1.88,3.6,4.2,2.5,2.25,1.65,2.05,1.72,Brest,10,3,3,4,8,11,12,13.83,13.83,14.53,13.64,0.2,8.46,8.62,58,63,13.28,Clermont Foot,10,2,3,5,6,10,9,9.53,7.25,14.76,14.0,-6.75,9.44,12.62,50,60,10.63
03/12/2023,Monaco,Montpellier,1.62,4.1,5.2,2.5,1.6,2.35,1.62,2.22,Monaco,11,6,3,2,21,12,21,19.08,17.56,9.99,7.71,9.85,7.45,12.77,112,52,20.77,Montpellier,10,3,3,4,13,12,12,14.34,13.58,12.32,11.56,2.02,15.14,8.93,45,84,14.5
03/12/2023,Toulouse,Lorient,2.25,3.35,3.25,2.5,2.02,1.8,1.78,1.98,Toulouse,11,1,6,4,11,15,9,11.73,10.21,20.88,19.36,-9.14,10.84,10.32,66,78,10.11,Lorient,11,2,4,5,15,21,10,9.42,9.42,17.83,14.79,-5.37,17.42,9.27,56,102,8.8
03/12/2023,Marseille,Rennes,2.02,3.6,3.6,2.5,2.02,1.8,1.85,1.9,Marseille,10,2,4,4,10,12,10,15.91,15.91,9.62,9.62,6.29,13.23,11.06,78,57,17.22,Rennes,11,1,6,4,11,15,9,13.61,11.33,16.35,16.35,-5.02,11.63,12.52,82,68,12.74
